Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),NO2_NO_ratio,VOC_NOx_ratio,hour_sin,hour_cos,month_sin,month_cos,Wind_U,Wind_V,Ozone_Baseline,Ozone_Anomaly
2020-01-03 03:00:00,223.0,345.5,92.45,35.55,94.2,60.28,9.15,1.27,1.5,8.9,56.15,9.5,95.2,0.6,287.92,0.0,0.0,268.1,995.22,0.3804173354735152,0.683298319327731,0.7071067811865476,0.7071067811865476,0.49999999999999994,0.8660254037844387,0.5708922349248018,-0.1846132609065908,17.56764705882353,-16.06764705882353
2020-01-03 04:00:00,222.5,366.5,133.78,45.38,133.55,59.7,8.98,1.33,2.17,7.65,94.55,10.02,95.18,0.52,198.48,0.0,0.0,270.7,994.92,0.3366968392936638,0.759568933481977,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0.16482627703222277,0.49318586597721653,17.258653846153845,-15.088653846153845
2020-01-03 05:00:00,226.0,403.5,113.1,46.72,117.25,64.58,8.93,1.42,3.7,7.12,193.82,10.32,95.2,0.65,49.4,0.0,0.0,266.65,995.22,0.40946538124452236,1.6992811839323467,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387,-0.4935263497676725,-0.42300324122280314,16.973962264150945,-13.273962264150946
2020-01-03 06:00:00,247.75,414.75,150.62,36.0,142.17,64.48,9.02,1.38,3.95,7.85,133.95,8.9,95.2,0.22,242.88,0.0,0.0,264.3,995.62,0.2374356944994064,0.990430956205909,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,0.19581182174599152,0.10028823691997,16.728148148148147,-12.778148148148148
2020-01-03 07:00:00,282.5,430.75,192.65,41.92,180.0,66.1,8.9,1.65,2.72,9.85,87.22,8.68,95.2,0.4,254.08,0.0,0.0,267.68,996.32,0.21647301833204236,0.5362983425414364,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,0.3846582484603501,0.10971796521725852,16.49581818181818,-13.77581818181818
2020-01-03 08:00:00,326.0,513.25,235.15,65.28,226.2,65.72,8.57,1.85,6.02,9.28,65.85,12.45,91.45,0.52,129.12,0.0,0.0,212.23,997.05,0.276434469616769,0.33067781690140846,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,-0.4034296304503501,0.32809226335696184,16.24982142857143,-10.22982142857143
2020-01-03 09:00:00,258.5,452.0,53.78,73.45,82.78,61.22,,1.6,5.62,7.2,101.98,17.5,60.18,0.62,130.52,0.0,0.0,190.28,997.6,1.3408178167214313,1.3031749820959657,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387,-0.47131111586852015,0.4028223331181756,16.070350877192983,-10.450350877192982
2020-01-03 10:00:00,175.0,305.5,14.52,42.58,34.5,57.12,,0.92,25.05,4.02,32.85,20.12,44.2,1.42,159.25,0.0,0.0,181.4,997.55,2.743556701030928,1.0385915492957747,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387,-0.5030932739567567,1.3278919977541364,15.890172413793103,9.159827586206898
2020-01-03 11:00:00,108.5,188.5,8.55,41.72,29.3,55.55,,0.8,53.2,2.75,15.6,21.28,38.93,1.68,142.3,0.0,0.0,176.77,996.8,4.368586387434554,0.6056105610561057,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387,-1.0273654275121964,1.3292555353853832,16.04542372881356,37.15457627118644
2020-01-03 12:00:00,73.5,158.5,13.45,48.45,36.65,52.05,,0.57,59.1,2.05,15.08,22.08,35.35,1.85,154.35,0.0,0.0,175.28,995.47,3.3529411764705888,0.4549800796812749,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387,-0.8008142758127662,1.6676919666576544,16.664666666666665,42.43533333333333
2020-01-03 13:00:00,43.0,131.0,11.52,46.12,34.1,49.08,,0.6,63.2,1.92,17.8,22.65,34.97,1.08,167.55,0.0,0.0,125.98,994.45,3.6837060702875397,0.5618233618233618,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387,-0.23283455685361093,1.0546032757083503,17.36032786885246,45.839672131147545
2020-01-03 14:00:00,45.0,140.0,7.52,42.1,28.42,43.7,,0.57,70.28,1.65,14.52,22.62,34.85,0.8,172.0,0.0,0.0,99.92,993.58,4.941314553990611,0.5496261046906865,-0.4999999999999997,-0.8660254037844388,0.49999999999999994,0.8660254037844387,-0.1113384807680526,0.7922144549932563,18.09967741935484,52.18032258064516
2020-01-03 15:00:00,45.0,140.0,14.4,59.53,43.08,37.95,,0.6,62.82,1.52,34.83,21.85,36.53,0.85,122.9,0.0,0.0,120.5,993.25,3.8655844155844155,0.8246370235934665,-0.7071067811865471,-0.7071067811865479,0.49999999999999994,0.8660254037844387,-0.7136768848542511,0.46169828245807015,18.927936507936508,43.89206349206349
2020-01-03 16:00:00,59.0,160.0,6.35,38.28,25.48,38.12,,0.65,90.07,1.82,39.02,19.95,42.5,0.98,98.02,0.0,0.0,181.05,993.03,5.208163265306123,1.542296072507553,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387,-0.9704150392784346,0.1367283860148801,19.61375,70.45625
2020-01-03 17:00:00,57.5,188.0,61.32,99.95,103.22,37.15,,0.85,17.4,1.95,21.4,16.15,60.92,0.45,192.18,0.0,0.0,425.08,992.45,1.603818998716303,0.22404528881212818,-0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,0.09494262048480401,0.4398703204530609,20.697692307692307,-3.2976923076923086
2020-01-03 18:00:00,81.0,243.5,100.57,97.08,133.98,42.0,,1.25,9.1,2.97,84.48,14.1,75.6,0.32,281.05,0.0,0.0,87.55,993.65,0.9557940336713597,0.6478737590754187,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387,0.31406729517833926,-0.06133297725825756,20.647727272727273,-11.547727272727274
2020-01-03 19:00:00,144.5,322.5,74.85,90.82,109.3,45.18,,1.52,3.35,5.35,100.8,13.15,85.5,0.3,330.0,0.0,0.0,99.22,994.2,1.197363216875412,0.9623753399818675,-0.9659258262890684,0.2588190451025203,0.49999999999999994,0.8660254037844387,0.15000000000000013,-0.2598076211353315,20.475373134328358,-17.125373134328356
2020-01-03 20:00:00,184.0,354.0,31.9,91.8,74.62,42.88,,1.75,3.1,5.42,48.45,13.28,88.75,0.68,319.55,0.0,0.0,104.68,994.9,2.790273556231003,0.7123776778629992,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0.4411732707800455,-0.5174612499011271,20.223529411764705,-17.123529411764704
2020-01-03 21:00:00,194.5,335.5,82.68,76.1,107.43,34.28,,1.88,1.38,5.35,48.3,12.7,91.25,0.45,239.3,0.0,0.0,110.78,995.32,0.9094168260038239,0.4947892649635709,-0.7071067811865477,0.7071067811865474,0.49999999999999994,0.8660254037844387,0.3869335222185931,0.22974431306022244,19.975362318840578,-18.59536231884058
2020-01-03 22:00:00,209.5,360.0,110.38,71.12,127.68,39.4,,1.9,1.27,5.38,33.5,11.42,95.2,0.2,170.68,0.0,0.0,118.72,995.53,0.638534745914886,0.3021448554553932,-0.5000000000000004,0.8660254037844384,0.49999999999999994,0.8660254037844387,-0.032389657776153234,0.1973598491820048,19.709714285714288,-18.439714285714288
2020-01-03 23:00:00,241.0,394.5,103.85,63.85,118.75,39.78,,1.9,1.3,6.7,50.75,11.08,95.2,0.3,289.22,0.0,0.0,119.4,995.05,0.60896518836433,0.479749478079332,-0.25881904510252157,0.9659258262890681,0.49999999999999994,0.8660254037844387,0.28327845497682075,-0.09875888287108826,19.45,-18.15
