PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Leighton_ratio,VOC_NOx_ratio,O3_lag1,NOx_lag1
67.15,108.28,50.86,48.75,67.28,29.2,15.48,0.83,32.17,0.46,32.88776281407036,0.0067369654364381,24.43,65.82
71.45,117.12,56.28,52.48,73.67,31.55,15.86,1.47,33.51,0.58,35.264450261780105,0.0077675103790009,32.17,67.28
109.89,165.19,57.83,50.84,74.06,31.97,19.24,2.31,44.4,0.58,49.53032407407407,0.0077271516120436,33.51,73.67
121.56,174.71,67.75,64.0,89.12,36.93,28.39,3.46,35.82,0.58,37.33546153846154,0.0064358632933865,44.4,74.06
102.95,144.25,60.66,51.74,76.84,32.71,21.13,2.29,44.5,0.58,51.18259385665529,0.0074511819116135,35.82,89.12
87.54,103.86,54.84,43.94,67.96,30.45,18.85,0.85,38.02,0.58,46.395567423230986,0.0084106728538283,44.5,76.84
94.12,109.81,48.0,39.51,60.04,26.54,17.77,0.69,37.99,0.58,45.01407059985189,0.0095019659239842,38.02,67.96
94.0,110.0,42.79,37.48,54.72,24.19,17.86,0.91,24.1,0.58,26.799350311850315,0.0104091888011486,37.99,60.04
85.68,100.72,40.9,30.64,49.55,22.41,10.33,1.49,26.49,0.58,34.2427623261694,0.0114737883283877,24.1,54.72
47.37,58.0,44.29,30.37,52.16,24.35,13.05,1.0,26.49,0.58,37.40013069811922,0.0109104589917231,26.49,49.55
58.06,73.58,46.79,33.55,55.89,25.57,7.24,0.84,20.31,0.58,27.50520694645441,0.0101951133766918,26.49,52.16
60.0,67.83,44.31,30.91,52.47,23.93,8.15,0.8,23.87,0.58,33.14571294265121,0.0108472040396484,20.31,55.89
60.4,66.79,37.32,21.99,45.14,17.21,5.36,0.55,41.06,0.58,66.65329273597217,0.012570437798006,23.87,52.47
54.28,66.34,33.36,17.57,42.31,12.57,9.71,0.71,44.67,0.58,80.24723747980613,0.0133918263680443,41.06,45.14
46.31,54.07,33.8,17.84,42.97,12.79,11.42,0.68,43.45,0.58,77.95169851380042,0.0131908119172162,44.67,42.31
51.54,67.92,28.75,15.92,36.41,10.88,11.93,0.78,35.71,0.58,60.67745271867612,0.0155038759689922,43.45,42.97
53.0,56.71,27.54,14.44,34.01,10.26,9.28,0.62,42.46,0.58,75.73500000000001,0.0165666952299343,35.71,36.41
47.61,32.0,31.83,16.62,40.02,12.01,10.33,0.81,47.72,0.58,86.20474460839954,0.0141394441735738,42.46,34.01
44.22,54.18,32.54,19.2,43.03,12.53,10.27,1.2,38.11,0.58,61.3910594059406,0.0131728367022484,47.72,40.02
49.93,78.61,29.2,17.9,38.46,11.27,18.33,1.63,40.95,0.58,63.26666666666667,0.0146984287886467,38.11,43.03
43.31,95.82,30.29,17.4,39.13,11.49,16.15,1.67,39.85,0.58,65.60089673913043,0.0144530276601046,40.95,38.46
36.33,63.06,33.35,17.47,42.22,12.51,14.98,1.03,45.09,0.58,81.41589063345967,0.0134197130957889,39.85,39.13
27.93,58.2,33.58,17.3,42.33,12.51,10.95,1.11,44.7,0.58,82.02327868852458,0.0133856450496192,45.09,42.22
38.62,59.53,32.95,18.51,42.67,12.3,16.61,1.54,42.19,0.58,71.25374167093797,0.0132814288985573,44.7,42.33
64.37,80.86,35.09,22.01,47.73,13.26,16.16,2.16,41.65,0.58,63.515797479356806,0.0119023189000615,42.19,42.67
70.9,99.8,36.29,20.89,47.92,13.58,20.12,2.39,55.89,0.58,92.65637734125173,0.0118560915780866,41.65,47.73
48.13,66.55,35.78,18.96,45.85,13.16,16.14,1.72,45.14,0.58,80.91729458917835,0.0123799359658484,55.89,47.92
79.47,100.64,31.67,19.35,42.08,12.08,25.45,2.34,36.21,0.58,56.35236855036855,0.0134633240482822,45.14,45.85
73.62,87.48,32.41,22.8,45.74,12.61,17.72,2.76,37.14,0.58,50.57594117647058,0.0124090714591356,36.21,42.08
126.77,122.3,36.36,22.39,49.19,13.72,16.5,2.94,41.6,0.58,64.66763574176998,0.0115560868698944,37.14,45.74
139.12,109.68,37.09,22.02,49.62,14.21,24.97,3.02,53.68,0.58,86.48962641181582,0.0114579217700513,41.6,49.19
55.98,62.3,32.71,17.66,41.75,12.03,14.88,2.15,50.23,0.58,88.050551982851,0.0135672514619883,53.68,49.62
94.36,104.17,31.02,17.19,39.7,11.44,10.22,2.26,41.77,0.58,71.2317427157779,0.0142506142506142,50.23,41.75
148.64,149.3,31.37,18.19,40.85,11.72,10.08,2.46,42.12,0.58,68.85379885356956,0.0138590203106332,41.77,39.7
125.38,133.9,34.63,20.82,46.25,12.94,9.14,3.4,41.94,0.58,66.5619706691109,0.0122751322751322,42.12,40.85
128.39,144.19,31.42,18.34,41.02,11.69,12.4,2.7,49.86,0.58,81.00316442605998,0.0138029509757258,41.94,46.25
126.87,148.97,33.57,21.12,45.41,12.57,18.05,3.45,55.32,0.58,83.95535262206148,0.0124973066149536,49.86,41.02
127.54,154.3,32.75,21.95,45.27,12.53,17.38,3.47,46.28,0.58,66.04226579520697,0.0125351199481305,55.32,45.41
186.81,194.07,33.51,22.7,46.64,12.69,15.8,3.69,59.14,0.58,83.61946835443038,0.0121746431570109,46.28,45.27
147.64,160.54,34.04,20.34,45.26,12.58,9.61,2.97,48.16,0.58,76.82129334582942,0.0125378296584522,59.14,46.64
76.86,93.11,36.19,20.38,47.4,13.21,11.85,2.99,53.65,0.58,90.81354069223572,0.0119834710743801,48.16,45.26
213.5,259.1,32.91,18.24,42.41,12.01,6.92,2.76,61.32,0.58,104.88779625779624,0.0133609767334715,53.65,47.4
93.89,102.67,34.25,19.27,44.59,12.63,11.33,3.02,65.37,0.58,110.45498273310312,0.0127220881772318,61.32,42.41
66.28,104.57,38.98,23.61,52.78,14.57,12.94,3.35,60.28,0.58,95.4780333197887,0.0107846783190777,65.37,44.59
60.54,124.75,35.68,20.52,47.01,13.13,14.51,2.98,69.89,0.58,115.87710037174722,0.0120808164965632,60.28,52.78
70.71,141.77,35.29,20.58,46.68,13.07,14.51,2.9,80.04,0.58,130.89025023169603,0.0121644295302013,69.89,47.01
42.23,159.29,36.17,19.97,47.05,13.17,9.88,2.46,83.9,0.58,144.71449690033384,0.0120707596253902,80.04,46.68
39.87,203.05,35.63,19.27,45.94,13.02,8.73,2.43,64.82,0.58,113.93865811544154,0.0123561994034938,83.9,47.05
50.81,225.61,35.44,19.34,45.81,12.96,11.85,2.5,69.81,0.58,121.63551622418878,0.0123905148472548,64.82,45.94
91.0,276.43,32.31,19.79,43.08,12.09,17.65,2.99,71.46,0.58,111.05688311688311,0.0131578947368421,69.81,45.81
92.24,297.43,34.31,21.92,46.79,12.93,21.84,3.22,63.82,0.58,95.5350872600349,0.0121364302155262,71.46,43.08
68.29,207.2,30.14,17.67,39.21,11.21,15.68,2.72,90.57,0.58,146.21209426888052,0.0144242725690126,63.82,46.79
82.54,421.17,32.77,19.41,43.23,12.27,14.65,3.11,91.89,0.58,147.53725134737874,0.0131132715351571,90.57,39.21
82.54,421.17,34.79,20.33,45.97,12.85,13.49,3.31,102.16,0.58,166.62664791373652,0.0123483074302746,91.89,43.23
82.54,421.17,37.58,21.12,49.38,13.81,13.74,2.98,79.28,0.58,134.68998191681737,0.0115125049622866,102.16,45.97
63.92,363.8,26.35,21.11,38.26,10.71,5.89,2.48,48.69,0.58,58.027204884667576,0.0147733061640346,79.28,49.38
60.18,363.8,21.25,27.45,38.36,11.03,4.0,1.5,46.11,0.58,34.44068541300527,0.0147357723577235,48.69,38.26
90.01,363.8,24.05,32.07,44.88,12.56,5.36,1.76,38.6,0.58,28.07166616268521,0.0126416739319965,46.11,38.36
69.8,363.8,26.84,35.54,50.47,13.82,3.65,1.73,42.24,0.58,31.02686371100165,0.0112687002137167,38.6,44.88
65.95,363.8,25.35,31.54,45.73,12.97,5.19,1.35,47.72,0.58,37.17584511370621,0.0124117269420072,42.24,50.47
85.17,363.8,22.05,28.7,40.16,11.47,6.38,1.78,53.68,0.58,39.85333333333333,0.0140913508260447,47.72,45.73
95.73,363.8,24.16,33.51,46.16,12.78,6.74,2.33,42.91,0.58,30.04073022312373,0.0122985581000848,53.68,40.16
54.59,363.8,28.05,38.61,54.17,14.65,8.99,2.79,43.97,0.58,31.13755364806867,0.0105129599419974,42.91,46.16
101.58,363.8,28.76,42.17,57.76,15.43,8.07,3.47,44.5,0.58,29.64605049803104,0.0098706603131381,43.97,54.17
56.95,363.8,29.31,38.49,55.31,15.37,7.28,2.3,42.68,0.58,31.677660167130917,0.0103001243118451,44.5,57.76
63.31,363.8,30.29,39.18,56.84,15.64,6.79,2.5,47.62,0.58,35.898700846192135,0.010027662517289,42.68,55.31
111.91,363.8,31.22,45.44,62.85,16.68,13.59,3.92,41.99,0.58,28.22841946597761,0.0090837901331245,47.62,56.84
